Soil_pH,Soil_Moisture_%,Soil_Temperature_C,Electrical_Conductivity_dS_m,Nitrogen_ppm,Phosphorus_ppm,Potassium_ppm,Organic_Carbon_%,Soil_Texture,Nutrient_Quality_Score
8.26,8.38,49.9,4.57,,100.18,60.98,0.42,Loamy,0.86
7.85,38.77,,4.02,183.98,71.89,391.71,2.05,Loamy,8.28
5.76,49.75,,1.93,174.26,177.79,431.8,0.98,Loamy,4.38
5.71,12.26,9.47,5.54,342.75,111.29,200.35,1.08,Sandy,4.63
8.73,60.95,45.58,2.11,,98.45,378.76,1.88,Sandy,9.28
6.07,43.44,20.31,2.35,514.94,40.46,254.92,0.69,Clay,5.09
5.89,29.47,41.02,4.08,279.81,29.78,391.72,1.85,,2.78
5.61,45.45,8.33,5.33,50.36,88.7,561.27,2.59,Sandy,9.26
4.25,67.06,32.52,2.86,489.37,71.26,561.87,1.04,Sandy,3.42
8.15,50.09,26.96,2.23,285.9,87.62,,0.74,Loamy,1.44
7.07,54.42,6.38,0.26,519.57,39.73,266.79,0.71,Loamy,10.51
4.19,41.16,21.17,2.84,15.17,168.34,682.88,0.57,Loamy,2.26
8.87,68.4,16.43,2.89,211.27,240.0,,1.04,Sandy,0.68
9.41,60.88,32.79,0.52,129.44,91.81,480.57,2.15,Loamy,6.53
8.15,68.92,15.84,3.91,493.86,80.85,355.42,1.27,Clay,7.1
4.85,9.62,41.61,2.09,592.75,117.77,205.55,0.76,Sandy,1.94
8.52,17.94,,0.64,388.01,211.22,,2.44,Clay,8.38
6.24,7.45,8.63,2.58,143.84,,85.49,1.22,Clay,4.71
5.55,24.43,29.79,3.76,347.72,18.64,343.76,,Sandy,8.51
7.8,65.18,18.21,4.6,51.98,175.05,315.82,2.62,Sandy,6.07
9.36,60.22,6.68,1.59,529.95,246.4,224.6,1.22,Clay,11.16
,16.15,18.33,5.17,410.14,204.12,694.85,2.55,Loamy,4.45
8.21,33.74,18.42,2.51,564.46,235.63,400.35,2.81,Loamy,8.47
6.12,31.67,6.31,5.31,313.76,20.45,510.04,0.59,Clay,7.18
4.14,64.32,40.89,1.52,128.29,85.32,306.6,0.3,Sandy,5.83
5.11,14.01,46.71,4.51,90.77,130.9,455.61,3.34,Sandy,5.68
8.33,60.77,6.64,5.43,305.65,6.9,588.96,2.95,Sandy,6.18
4.86,33.85,32.81,5.24,570.26,33.52,99.46,2.85,Loamy,5.4
4.09,40.38,44.27,4.31,328.39,6.61,251.45,1.74,Sandy,1.72
8.55,11.16,37.02,,49.67,43.51,436.05,1.59,Clay,5.95
7.5,52.83,46.43,3.15,313.64,228.12,350.7,0.76,Sandy,5.37
5.74,,44.96,0.37,558.41,28.17,,0.9,Loamy,0.59
9.06,17.12,43.09,2.22,501.03,245.2,88.94,1.51,Sandy,3.38
7.01,64.49,8.37,4.27,351.48,38.42,698.22,0.91,Loamy,10.17
5.81,16.51,35.83,3.39,375.17,,220.37,2.43,Clay,5.73
5.4,0.58,39.94,0.94,89.14,139.79,481.16,0.22,Clay,2.79
5.07,4.16,40.17,3.99,,38.9,570.07,0.7,Sandy,0.59
4.69,40.34,37.66,1.51,158.5,18.35,43.49,1.12,Clay,11.84
7.72,15.01,32.54,0.28,451.49,172.56,218.75,1.49,,2.55
7.83,41.55,13.74,,590.6,33.65,331.5,0.68,Clay,7.82
5.07,37.29,7.03,3.99,212.74,109.05,79.87,0.88,Sandy,9.76
7.19,21.92,18.1,5.19,343.9,203.11,251.07,0.6,Clay,3.84
8.78,67.1,11.73,2.63,524.03,150.39,,3.41,Loamy,8.9
7.58,18.69,49.41,2.07,98.07,115.22,511.63,0.16,Clay,5.85
8.55,30.44,38.83,2.46,190.39,248.99,86.56,1.54,Clay,7.02
6.4,58.34,46.73,3.44,170.48,11.6,539.79,1.05,Sandy,10.87
6.2,14.6,28.95,2.87,,224.51,438.71,2.32,,1.65
7.38,15.0,20.6,3.14,42.54,154.44,192.64,0.53,Sandy,7.83
7.48,23.32,34.98,5.62,390.06,17.77,,1.46,Sandy,3.87
6.6,28.94,35.02,3.37,385.68,113.6,35.82,1.23,Clay,10.63
5.48,37.88,33.83,3.14,289.37,132.11,364.0,3.45,Loamy,0.0
4.84,17.94,38.57,5.08,472.34,210.53,420.87,2.93,Loamy,11.81
7.85,22.53,41.48,,124.87,17.48,621.15,0.32,Sandy,4.61
8.73,23.24,43.47,5.97,67.48,230.92,365.83,0.92,Loamy,6.98
6.99,48.84,33.53,2.5,554.71,204.53,418.27,1.99,Loamy,5.48
6.11,21.9,32.84,2.26,133.82,97.74,269.98,2.54,Clay,10.83
,,45.69,1.88,,14.59,143.27,1.92,Loamy,7.63
7.35,39.46,19.76,2.59,143.58,166.16,455.48,2.13,Clay,0.83
8.77,62.38,48.48,2.77,44.76,229.74,166.63,0.97,Loamy,1.75
8.14,52.71,23.34,2.66,385.04,57.14,56.41,3.17,Clay,10.06
9.2,36.71,29.66,5.49,93.41,17.04,433.52,,,11.55
,47.52,45.49,3.35,553.51,74.56,452.97,2.34,Clay,3.01
7.16,55.56,21.44,0.13,46.92,95.78,343.6,2.27,,3.21
7.74,31.3,17.85,0.93,357.61,142.05,522.15,0.59,Loamy,4.6
9.07,69.79,28.04,4.19,281.13,182.9,172.4,2.5,Sandy,3.54
7.25,50.34,46.75,5.99,64.67,21.38,636.34,1.08,Loamy,4.43
4.34,39.03,16.59,0.19,287.03,222.08,108.28,2.16,Clay,4.57
8.4,44.04,38.71,2.49,223.72,73.25,321.68,,Loamy,4.75
4.82,31.3,6.42,3.17,98.14,169.51,92.71,2.02,Loamy,7.99
9.16,36.75,20.12,4.7,338.67,124.47,628.17,0.74,Clay,2.39
,56.92,23.35,5.8,16.67,183.24,392.89,2.83,Sandy,8.08
6.52,44.36,43.48,4.98,492.26,15.69,462.69,2.09,Sandy,8.77
7.2,,46.17,3.87,281.44,230.47,599.97,3.17,Sandy,2.31
4.74,63.73,43.6,4.7,248.23,168.82,577.77,1.64,,11.5
6.05,17.04,29.46,1.12,333.96,89.37,332.84,,Loamy,5.93
4.54,31.23,13.92,1.96,361.67,241.71,628.87,3.14,Sandy,10.24
5.17,30.5,37.17,0.57,265.54,80.37,538.35,2.57,Loamy,3.47
6.93,67.87,14.83,5.41,495.32,,575.02,0.68,Loamy,4.3
4.96,,11.78,3.46,355.69,207.59,514.97,1.4,Sandy,0.66
7.73,50.29,19.0,0.97,384.82,242.35,666.14,0.21,Loamy,0.0
5.52,4.13,45.72,3.83,326.3,63.74,447.81,1.69,,2.29
5.61,43.58,20.39,0.94,555.67,,273.4,3.12,Loamy,1.46
8.89,53.91,47.18,0.63,121.99,98.73,461.53,1.08,Clay,3.94
5.98,21.63,7.11,5.05,482.19,,252.35,2.61,Clay,3.49
6.5,38.07,48.17,1.3,392.64,248.43,119.66,0.07,Loamy,0.07
9.42,18.15,28.93,4.95,591.45,11.61,662.39,0.06,Clay,2.08
4.47,48.84,42.42,,417.87,220.36,617.88,2.11,Clay,4.21
9.21,29.95,42.54,1.83,238.35,186.31,196.19,2.85,Clay,4.56
4.32,17.55,14.66,5.12,383.0,33.15,468.56,2.07,Sandy,4.55
6.46,43.92,9.51,0.92,217.28,83.21,,2.16,Clay,4.92
7.35,69.66,23.75,3.67,549.64,8.92,321.43,2.69,Sandy,2.75
7.47,25.9,15.36,4.83,16.41,114.43,471.0,3.18,Clay,11.68
5.66,6.92,11.41,0.91,484.21,121.58,652.39,0.49,Sandy,11.92
7.61,3.38,17.29,1.19,130.03,229.36,317.26,2.96,Clay,11.7
5.11,18.64,47.0,4.58,333.76,163.71,644.23,,Sandy,9.48
7.23,41.59,46.92,1.06,223.2,213.91,602.44,1.0,Clay,4.93
7.3,52.02,9.31,2.84,592.13,76.67,94.64,2.83,,4.08
7.94,48.17,42.33,3.45,518.76,80.9,404.53,1.45,Sandy,0.04
6.67,33.74,7.01,0.91,531.19,89.43,652.49,0.42,Loamy,8.3
5.31,52.86,9.1,4.89,472.96,97.68,163.82,0.13,Loamy,10.82
4.31,16.3,5.88,3.36,549.41,121.44,298.35,,Clay,8.65
5.9,39.74,,5.69,277.32,171.78,210.15,1.95,Clay,3.57
7.32,42.17,11.01,3.62,486.46,168.84,169.3,3.4,Clay,7.65
5.66,25.86,41.93,3.02,571.96,30.98,615.29,2.87,Clay,2.0
5.73,,27.03,3.87,233.58,45.56,689.33,0.9,Clay,3.03
4.19,34.71,,1.02,65.26,67.71,270.09,1.3,Clay,8.66
4.5,6.11,24.26,1.34,55.73,87.34,361.53,0.78,Clay,0.73
5.58,19.26,23.93,1.42,54.44,25.34,588.97,2.61,Loamy,9.4
4.38,,41.3,4.78,296.58,196.18,81.86,3.3,Loamy,5.66
4.85,5.35,46.15,4.32,21.31,104.25,582.82,0.44,,2.35
9.25,67.51,16.85,4.85,572.0,249.24,58.74,2.33,Loamy,7.39
4.25,35.29,49.4,4.69,548.52,67.33,635.87,0.48,Clay,2.53
7.64,6.94,12.39,5.94,375.44,199.47,250.09,3.44,Loamy,9.26
7.64,11.08,9.13,4.92,372.8,,89.65,3.4,Sandy,2.85
6.55,59.83,11.85,1.54,239.09,33.34,140.49,1.72,Clay,7.97
8.63,15.98,11.19,4.92,103.52,168.45,201.37,0.33,Sandy,9.15
6.83,62.12,22.57,0.54,253.56,234.98,286.17,2.49,Clay,1.39
5.66,68.6,,2.23,51.45,127.67,665.3,2.66,Sandy,3.88
5.24,62.55,28.43,1.27,485.92,109.21,509.45,2.71,Clay,0.61
9.14,51.12,44.05,,144.68,152.68,175.19,3.26,Loamy,1.17
8.41,24.7,38.92,3.63,168.87,66.37,299.63,2.94,Clay,2.22
6.16,43.56,,0.23,524.89,24.64,617.14,1.54,Loamy,3.3
6.86,63.81,13.44,0.29,168.28,114.69,445.14,,Loamy,2.33
,50.41,10.72,0.6,424.3,114.61,541.25,2.8,Loamy,7.02
4.91,56.92,6.81,0.23,565.6,212.55,416.24,2.95,Clay,5.88
7.5,50.59,29.65,3.9,345.13,190.47,477.69,1.48,Loamy,6.09
6.13,65.09,16.12,0.8,300.97,23.37,171.25,0.55,Clay,3.76
5.19,32.71,13.62,1.45,288.75,197.94,85.4,1.86,Sandy,10.82
5.93,49.49,13.2,3.92,177.32,216.11,454.59,2.42,Clay,6.11
7.55,65.18,7.74,5.32,419.54,64.23,418.76,2.36,Sandy,11.14
6.05,44.68,29.87,5.14,255.76,168.46,293.87,1.31,Sandy,10.5
8.4,54.19,10.09,3.67,550.37,133.41,344.01,1.8,Loamy,8.32
5.55,67.37,16.8,0.6,239.92,234.5,240.27,0.84,Clay,3.51
,41.75,34.34,0.4,488.85,29.03,92.08,1.42,Loamy,0.01
6.09,,40.85,5.51,268.59,58.55,618.99,1.57,Clay,5.43
5.62,29.62,35.1,0.81,344.7,248.71,524.35,2.44,Loamy,3.1
5.59,56.1,46.68,1.96,98.86,156.06,70.4,3.2,Sandy,10.75
7.22,55.69,19.88,,276.87,30.65,625.26,2.29,Sandy,5.32
8.15,14.06,30.53,0.43,53.09,152.18,486.61,0.89,Clay,3.28
6.68,13.28,15.92,1.33,371.81,195.3,499.26,2.65,Clay,10.62
4.64,50.36,17.92,3.54,238.14,225.73,365.05,0.09,Clay,11.26
4.68,6.8,24.37,2.01,351.62,185.89,37.66,3.3,Sandy,2.22
,36.08,13.07,5.7,359.83,96.48,373.56,1.37,Loamy,1.36
,8.22,17.88,0.34,164.62,23.28,401.44,2.66,Clay,9.83
6.81,56.07,30.49,3.29,,24.22,405.26,3.12,Loamy,1.46
8.8,23.06,17.15,3.47,274.33,84.43,492.45,2.99,Sandy,6.96
8.9,39.65,5.72,1.53,275.66,31.46,505.42,1.08,Loamy,10.48
9.2,65.17,29.25,1.2,527.05,26.18,308.23,1.98,Sandy,9.2
5.25,,14.96,0.7,546.29,53.68,547.99,,Sandy,9.99
5.09,,46.79,,,116.42,670.65,2.75,Loamy,9.86
5.03,64.23,,0.23,268.85,6.36,570.43,1.49,Loamy,5.06
5.46,42.11,6.03,4.67,151.84,7.31,661.46,3.46,Sandy,5.4
9.24,47.72,47.65,5.32,236.02,160.31,80.34,2.13,Loamy,2.84
6.03,25.65,44.03,3.55,,208.11,327.34,2.69,Loamy,0.9
5.77,40.58,37.82,5.43,150.15,169.8,278.24,0.92,Clay,8.89
8.52,67.96,6.28,0.82,42.31,230.85,508.26,2.44,Loamy,0.65
5.73,56.69,16.12,5.3,558.86,154.73,654.93,1.54,,8.52
7.57,16.49,18.19,1.14,283.54,107.75,,0.44,Loamy,9.94
4.7,51.56,49.49,5.79,451.19,164.27,390.47,2.34,,6.62
8.35,20.82,14.98,2.38,44.53,38.02,438.55,2.6,Sandy,0.18
8.54,7.86,46.1,4.54,441.09,101.12,442.51,1.5,Sandy,3.94
4.51,16.48,,5.84,575.25,124.59,,2.0,Loamy,7.18
5.17,,29.6,1.78,387.14,145.68,116.07,3.07,Clay,7.23
7.21,19.07,41.99,1.83,140.52,83.16,135.45,3.43,Loamy,5.72
8.36,67.95,23.73,3.45,402.46,86.06,623.67,0.61,Clay,4.51
8.43,5.43,14.96,2.74,,99.59,104.35,2.6,,8.47
5.56,4.6,48.76,1.16,451.31,129.03,46.36,3.45,Loamy,6.05
6.97,16.98,,1.01,89.13,179.48,266.6,3.34,Clay,7.36
8.98,30.07,20.93,3.12,12.94,101.92,551.42,0.45,Loamy,8.13
9.4,57.67,22.13,2.8,56.27,17.56,363.43,1.28,Clay,0.43
8.0,30.63,46.04,,106.91,210.43,338.65,0.99,Clay,7.76
4.55,35.23,26.24,2.0,46.33,14.79,71.02,0.51,Sandy,0.18
5.5,55.64,35.08,3.31,305.24,203.39,313.62,1.33,Loamy,1.31
7.81,1.76,19.18,4.11,544.68,221.92,242.99,0.13,Loamy,9.28
6.64,40.0,41.46,0.2,22.49,27.0,74.04,0.43,Clay,0.91
7.36,40.76,30.38,1.73,52.5,94.99,568.57,1.76,Clay,7.75
8.25,46.02,9.15,1.59,472.78,17.73,192.95,2.67,Clay,5.84
5.69,40.09,40.26,5.3,163.31,223.74,78.29,0.62,Clay,10.23
,10.64,40.93,5.8,431.89,21.07,76.03,0.05,Sandy,4.87
9.22,13.6,9.86,0.27,563.78,138.33,462.23,2.51,Clay,10.01
6.89,4.25,30.74,0.29,187.01,35.23,146.06,3.43,Clay,2.07
5.36,49.89,5.55,3.96,390.24,157.95,526.17,0.65,Loamy,5.53
5.0,61.89,36.76,4.66,153.9,204.61,217.01,0.07,Loamy,10.81
6.7,22.86,49.67,,295.47,204.36,304.47,1.86,Loamy,11.42
9.26,26.48,7.03,3.53,348.96,167.15,352.34,0.31,Loamy,8.48
4.02,39.16,27.62,0.42,518.45,133.88,688.65,1.24,,2.28
6.64,57.0,15.69,1.98,52.42,74.16,444.71,0.58,Loamy,10.82
7.6,69.4,49.77,5.98,221.02,181.87,232.41,,Sandy,8.3
4.39,29.5,26.73,3.65,139.83,204.32,369.32,1.82,Clay,6.18
7.38,68.4,39.76,2.16,16.26,110.63,90.39,1.19,Loamy,7.34
4.23,47.44,11.79,5.87,38.1,107.49,506.65,,,0.93
7.46,62.7,9.35,4.29,171.43,159.57,470.69,3.3,Loamy,7.89
5.81,38.42,9.45,0.11,478.42,147.02,170.11,0.68,Loamy,11.8
7.09,30.12,43.75,4.52,195.51,183.94,138.71,2.85,Loamy,9.07
5.06,44.02,31.05,2.76,373.99,73.24,68.91,2.77,Loamy,7.21
4.88,43.96,18.21,,,104.35,522.7,2.16,Loamy,1.42
5.7,34.18,28.35,2.99,195.66,,578.76,0.17,Clay,7.07
8.87,43.58,37.51,1.87,508.45,91.82,272.27,0.61,Clay,6.16
5.64,68.86,36.8,4.76,334.79,207.06,268.93,1.37,Clay,10.02
8.88,,28.42,1.96,112.68,,294.93,1.32,Clay,3.94
7.93,60.88,29.48,1.01,91.7,187.15,176.84,2.77,Clay,8.85
7.13,46.65,13.78,0.66,13.62,142.42,147.43,3.49,Loamy,1.3
6.94,67.5,28.12,4.41,473.84,226.25,210.08,2.87,Loamy,10.41
8.49,27.14,19.74,4.66,285.59,182.44,209.08,3.22,Clay,7.0
6.7,17.13,14.1,1.14,470.92,145.15,526.51,2.11,Sandy,7.68
7.62,39.57,30.44,3.16,492.2,227.9,301.08,2.63,Sandy,11.6
4.62,54.49,25.96,0.84,319.45,93.54,260.82,,Sandy,8.86
,50.05,48.5,0.28,268.6,165.55,447.65,0.55,Sandy,0.05
4.26,7.76,41.94,5.4,17.26,201.45,268.2,1.08,Sandy,4.88
5.49,35.88,44.26,4.21,31.68,76.17,305.59,2.2,Loamy,2.83
8.44,43.41,26.23,4.78,155.95,22.75,621.83,0.18,Sandy,7.2
7.4,68.72,36.38,2.35,216.74,54.45,535.77,1.4,Loamy,10.77
5.88,35.85,40.82,1.85,548.11,,425.75,0.15,Sandy,6.13
7.01,,36.3,1.84,523.08,39.97,625.72,1.5,Sandy,2.34
4.54,43.68,15.35,4.39,449.6,127.99,406.27,1.7,Sandy,9.81
4.4,33.15,17.26,2.78,84.58,189.26,89.79,0.13,Clay,1.51
7.96,37.31,35.34,5.54,320.95,217.95,493.28,,Clay,6.2
6.42,43.67,7.96,3.09,552.19,159.86,,2.3,Sandy,5.0
4.09,29.94,31.86,2.04,259.43,183.79,239.81,3.43,Clay,1.58
7.79,14.15,15.15,2.23,200.11,12.42,417.68,3.05,Sandy,9.8
7.88,13.08,24.73,3.81,185.34,178.86,694.03,0.63,Loamy,5.02
7.45,25.92,32.77,4.75,82.84,147.71,511.28,0.15,Sandy,1.87
9.37,64.6,31.08,1.75,492.95,109.56,287.07,1.53,Clay,9.66
7.1,54.05,7.17,5.16,453.8,44.7,479.07,3.49,Loamy,0.88
4.59,57.2,27.22,2.74,175.47,172.3,627.62,3.21,Loamy,7.73
6.04,0.82,24.55,5.87,351.34,222.41,252.39,3.3,Clay,9.98
5.02,3.75,39.72,0.35,318.2,39.54,141.99,1.38,Clay,11.94
9.27,63.56,34.03,2.33,441.6,134.42,690.72,3.46,Loamy,1.64
6.95,15.49,48.75,1.36,522.38,94.06,685.47,0.44,Loamy,3.02
8.19,25.62,48.38,5.14,66.08,173.82,331.75,2.17,Clay,9.86
5.38,47.22,14.44,4.38,384.08,198.24,645.39,3.38,Sandy,6.48
7.67,27.02,25.8,5.87,476.48,52.93,431.97,1.49,Clay,3.31
7.75,19.61,23.39,1.53,408.65,,516.1,3.17,Loamy,8.5
4.72,39.4,20.42,2.09,,25.74,620.13,3.3,Loamy,2.79
8.37,54.69,47.22,5.57,109.37,246.07,476.83,2.84,Sandy,2.27
5.71,69.71,48.71,0.13,512.84,142.42,202.81,1.77,Loamy,4.72
7.15,31.88,27.71,3.83,316.44,9.03,,,Clay,10.43
4.11,62.27,26.21,0.39,,7.81,333.33,2.39,Sandy,3.1
7.83,50.99,40.64,0.83,160.79,125.93,464.35,1.71,Loamy,6.53
6.3,54.6,35.11,,31.95,177.3,218.34,1.17,Sandy,6.37
6.83,56.54,23.96,1.96,84.81,245.73,306.72,3.19,Clay,4.61
4.28,13.22,35.86,2.3,530.99,12.29,285.24,0.48,Sandy,0.7
4.21,62.61,15.36,4.31,52.05,239.97,108.4,3.41,Clay,0.22
6.95,56.67,35.52,0.07,,6.63,244.01,1.4,Loamy,2.47
7.08,17.46,46.65,0.09,592.93,234.71,227.21,2.34,Clay,10.68
7.16,57.26,12.34,1.96,471.46,137.65,232.85,2.54,Loamy,10.7
7.9,35.48,31.55,3.82,503.48,137.82,112.86,1.28,Loamy,10.52
4.41,57.88,15.83,5.07,55.58,34.61,665.48,0.99,Loamy,4.19
8.06,35.85,36.17,4.2,407.15,51.48,573.39,0.39,,1.03
6.86,68.93,25.91,2.3,164.9,105.63,646.39,2.19,Sandy,8.99
5.89,36.07,13.85,1.71,344.95,214.13,665.07,2.42,Clay,11.11
5.48,12.27,43.36,3.96,40.1,64.32,30.48,2.13,Clay,3.46
7.83,16.15,15.08,3.69,569.16,198.99,139.14,2.8,Sandy,6.7
9.14,29.57,49.11,5.75,300.98,216.46,98.99,1.35,Clay,10.1
5.38,41.94,46.88,4.5,536.22,160.15,491.04,1.41,Loamy,0.54
7.54,19.82,19.14,2.88,46.37,177.37,,2.31,Clay,8.26
5.04,27.06,15.38,4.48,101.9,87.25,126.82,3.14,Sandy,8.32
9.15,12.28,15.05,1.93,258.71,63.12,277.98,2.48,,0.07
6.86,69.95,16.5,1.66,113.66,216.61,86.36,1.65,Sandy,8.2
9.03,62.88,20.03,2.38,582.42,29.98,638.94,1.01,Sandy,9.55
5.65,32.52,,4.47,36.49,44.01,533.17,,Clay,9.06
8.36,17.63,24.85,4.59,415.15,,237.11,0.43,Loamy,10.39
9.0,20.6,46.21,3.41,14.86,175.8,222.66,1.64,Loamy,1.6
9.39,20.18,34.95,4.65,24.43,,377.36,0.7,Clay,1.1
8.53,5.83,39.71,4.26,333.02,69.63,,2.0,Sandy,8.58
9.12,26.11,8.88,0.9,582.54,50.37,137.72,0.6,Loamy,7.5
4.47,11.78,35.34,1.43,565.49,96.44,217.31,1.16,Loamy,3.13
7.16,10.48,41.93,3.5,449.65,64.29,,,Sandy,0.86
9.46,4.7,23.09,0.48,429.81,,320.83,0.94,Sandy,0.45
7.26,0.16,7.91,4.26,374.44,7.51,,1.52,Loamy,10.4
5.77,1.88,47.64,3.28,472.28,126.39,36.97,1.72,Sandy,8.24
8.67,32.48,28.1,4.71,271.8,57.14,420.82,0.59,Loamy,5.19
8.47,7.39,22.6,5.08,218.09,153.59,558.38,,Clay,3.27
9.13,17.46,7.56,5.02,168.7,102.78,204.37,3.22,Clay,0.54
7.84,,42.28,4.51,100.75,211.2,394.52,1.12,Clay,10.45
6.57,60.67,43.1,2.12,53.57,116.48,534.3,3.37,Sandy,6.65
8.92,45.58,28.28,5.65,158.8,67.11,126.4,2.52,Sandy,11.68
7.55,19.78,12.59,0.5,,112.54,252.66,3.26,Sandy,11.01
5.13,26.88,43.64,5.95,479.1,205.0,40.08,0.17,Loamy,4.9
,21.63,36.42,1.04,43.28,37.7,314.36,2.43,Clay,0.71
6.25,22.56,34.65,0.28,,135.04,510.44,3.07,Clay,8.73
7.23,43.77,7.23,2.27,185.8,77.2,552.58,2.24,Sandy,11.47
,16.99,14.95,5.78,88.9,73.73,696.98,0.82,Loamy,8.85
6.51,1.28,20.26,,318.43,197.98,577.08,0.51,Clay,2.53
9.4,41.81,42.12,1.67,49.0,148.62,553.27,1.1,Loamy,11.16
6.39,48.18,19.7,1.14,546.53,126.37,95.19,3.46,Clay,0.38
4.02,66.44,14.23,1.47,347.16,18.21,230.86,0.35,Sandy,5.35
,43.43,29.34,,,244.6,529.2,0.43,Loamy,6.58
8.51,43.19,12.44,0.51,197.76,20.81,79.72,0.6,Clay,9.67
4.06,38.49,,2.39,271.58,208.69,140.69,0.58,Loamy,6.35
7.59,52.38,15.82,,384.66,107.54,407.17,1.7,Loamy,7.96
8.88,23.81,42.41,5.21,224.89,143.19,216.95,3.23,Clay,8.32
5.62,65.82,19.27,0.55,421.82,22.94,511.21,2.49,Clay,0.6
4.65,28.28,6.35,0.17,488.37,41.89,380.54,2.36,Sandy,0.56
4.45,41.86,32.76,2.22,164.21,83.44,479.72,2.61,Loamy,3.53
6.92,33.35,9.26,4.19,382.91,222.05,260.22,1.31,Clay,2.17
4.28,68.99,23.82,2.45,554.36,39.99,670.57,2.81,Loamy,10.93
9.16,,21.86,5.3,130.66,124.55,265.97,2.74,Sandy,11.25
8.5,,27.27,0.65,114.02,139.92,594.76,0.36,Clay,9.15
7.95,68.67,33.61,5.68,457.04,117.19,107.92,0.23,Loamy,0.97
8.78,23.82,37.38,0.28,537.4,200.81,47.03,2.48,Loamy,7.64
9.01,49.25,19.86,,216.47,62.65,,0.11,Sandy,5.86
8.75,57.36,43.44,1.76,467.05,217.57,277.75,0.79,Sandy,3.38
8.78,52.45,13.81,0.14,452.84,235.61,251.04,0.96,Loamy,8.04
6.52,14.59,39.46,2.47,183.46,236.52,344.51,1.11,Loamy,4.46
8.64,7.25,12.74,5.53,541.69,228.97,330.43,3.12,Clay,4.08
5.24,57.9,13.1,1.98,306.03,57.51,294.74,2.42,Clay,1.72
8.8,49.84,,1.01,420.14,73.95,427.06,0.78,Sandy,4.01
5.78,49.27,23.08,1.43,528.74,160.93,117.18,3.24,Clay,2.49
7.47,9.64,37.69,5.9,482.9,204.87,134.59,2.33,Loamy,5.32
9.37,7.84,20.06,5.48,60.7,202.68,140.85,3.1,Loamy,0.36
6.38,52.16,7.4,0.93,528.87,63.81,91.24,1.06,Clay,2.41
8.95,23.8,47.59,,124.98,218.51,124.02,1.87,Sandy,8.34
